S.no,Project,Year,Lender,$ Allocation,Country,Invested On
1,"Luanda Railway Phase I Rehabilitation, 444km (Luanda-Malanje line)",2002,CHEXIM,$90M,Angola,Transportation
2,"Kipsigak-Serem-Shamakhokho Road, 54km, Loan 2",2001,CIDCA,$6M,Kenya,Transportation
3,"Addis-Adama Expressway Phase I, 80km",2009,CHEXIM,$349M,Ethiopia,Transportation
4,"Railway Modernisation Project 1 (Idu-Kaduna), 187km",2010,CHEXIM,$500M,Nigeria,Transportation
5,Special Train Loan - TAZARA,2001,CIDCA,$6M,Zambia,Transportation
6,"National Route 1 Pointe-Noire-Brazzaville Road, Phase I (Pointe-Noire to Dolisie, 164km)",2006,CHEXIM,$565M,Republic of Congo,Transportation
7,Kribi Port Project - Phase I,2011,CHEXIM,$423M,Cameroon,Transportation
8,Transnet Locomotive Purchases,2015,CDB,$1.1B,South Africa,Transportation
9,"Maputo International Airport Renovation Phase I (CL part, total 117mn)",2007,CHEXIM,$50M,Mozambique,Transportation
10,"Abidjan-Grand Bassam Highway, 42km",2012,CHEXIM,$115M,Cote d'Ivoire,Transportation
11,"Cairo-10th of Ramadan-New Administrative Capital Light Rail, 68km (First Loan, total $1.2 billion)",2019,CHEXIM,$739M,Egypt,Transportation
12,"Thies-Touba Toll Highway, 113km",2015,CHEXIM,$689M,Senegal,Transportation
13,Equipment Supply to Local Govts,2011,CHEXIM,$100M,Uganda,Transportation
14,"Accra-Kumasi Road, Ofankor-Nsawam Section Rehablitation and Expansion, 17.4km",2003,CIDCA,$22M,Ghana,Transportation
15,"Kinshasa, Avenue du Tourisme Refurbishment, 6.8km",2008,CHEXIM,$24M,Democratic Republic of Congo,Transportation
16,New port gantry cranes,2003,CN Gov,$16M,Djibouti,Transportation
17,"Port Gentil-Omboue Road and Booue Bridge, 93km, CL Portion",2013,CHEXIM,$134M,Gabon,Transportation
18,Purchase of 100 Buses,2014,Poly Technologies Inc.,$12M,Sierra Leone,Transportation
19,Aircraft Parts,2003,CN Gov,$41M,Sudan,Transportation
20,"N1 Highway Rehabilitation, 96km (Coyah-Mamou-Dabola)",2018,ICBC,$375M,Guinea,Transportation
21,"Phase I Togolese Road Network Renovation - Lome bypass, Aledjo Fault bypass, Montagne de Defale bypass, Asphalting of N1 between Tandjouare and Cinkasse (Togo-Burkina border), 12.1km",2009,CHEXIM,$99M,Togo,Transportation
22,Juba International Airport,2014,CHEXIM,$158M,South Sudan,Transportation
23,Nouakchott Friendship Port Expansion,2009,CHEXIM,$293M,Mauritania,Transportation
24,"Ivato Airport - Antananarivo Boulevard de l'Europe Expressway, 18.7km",2017,CHEXIM,$105M,Madagascar,Transportation
25,MA60 Cargo Plane,2005,China National Aero-Technology Import and Export Corporation (CATIC),$12M,Zimbabwe,Transportation
26,"Kigali Urban Road Upgrade Project, 36km (2009 project)",2009,CHEXIM,$36M,Rwanda,Transportation
27,"Niefang-Nkue Road, 34km",2001,CIDCA,$11M,Equatorial Guinea,Transportation
28,Financing for Mauritius Shipping Corporation Ltd.,2004,CHEXIM,$5M,Mauritius,Transportation
29,"Berrechid–Ben Ahmed Highway project (Section 1 of Berrechid–Beni Mellal), 38.6km",2011,CHEXIM,$248M,Morocco,Transportation
30,"Akassato-Bohicon Road Lot 3, 72.1km",2013,CHEXIM,$132M,Benin,Transportation
31,Bamako-Ségou Road Renovation Phase 1,2010,CHEXIM,$157M,Mali,Transportation
32,17 Diesel Locomotives and 200 Train Cargos,2005,CHEXIM,$31M,Namibia,Transportation
33,Ha-Mpiti to SehlabaThebe Road 92km,2018,CHEXIM,$98M,Lesotho,Transportation
34,"Adi-Guaedad to Habela Long Asphalt Road, 29km",2018,CHEXIM,$87M,Eritrea,Transportation
35,Purchase of 20 trains,2009,CHEXIM,$80M,Tunisia,Transportation
36,TAZARA rehabilitation (phase 12),2004,CN Gov,$5M,Tanzania,Transportation
37,Letlhakeng-Kang Road Section I 561 km (Letlhakeng-Dutlwe),2003,CHEXIM,$24M,Botswana,Transportation
38,Roberts International Airport Rehabilitation,2017,CHEXIM,$50M,Liberia,Transportation
39,Third Bridge over Niger River (The General Seyni Kountché Bridge),2015,CIDCA,$15M,Niger,Transportation
40,Y-12E Utility Aircraft Purchase - 2 units,2008,CHEXIM,$11M,Seychelles,Transportation
41,"Moroni, Prince Said Ibrahim International Airport",2004,CHEXIM,$8M,Comoros,Transportation
42,"Luanda Electrical Network Expansion, Phase I",2002,CHEXIM,$15M,Angola,Power
43,"Infrastructure Construction, including Kusile and Medupi power stations",2016,CDB,$500M,South Africa,Power
44,"Finchaa-Amerti-Neshe (FAN) Hydropower Project, 97MW",2007,CHEXIM,$116M,Ethiopia,Power
45,El-Jaili (Garri/Qarre) Gas Power Station Phase I 212MW,2001,"Harbin Electric Company, Ltd.",$128M,Sudan,Power
46,Kariba North Bank Extension Hydropower Project 360 MW,2008,CHEXIM,$316M,Zambia,Power
47,Volta Lake Resettlement Township Electrification Project under the Upper West Electrification project (USD seller's credit),2000,China International Water & Electric Corporation (CWE),$6M,Ghana,Power
48,Isimba Hydropower Project 183MW,2014,CHEXIM,$483M,Uganda,Power
49,Soubre Hydropower Project 275MW,2013,CHEXIM,$500M,Cote d'Ivoire,Power
50,Tinkisso Hydropower Project 11MW,2004,CN Gov,$2M,Guinea,Power
51,"Transformers, Cables, Switch Gears",2003,China National Aero-Technology Import and Export Corporation (CATIC),$22M,Zimbabwe,Power
52,"Kenyan Urban Power Grid Phase I - Chemositsit-Kisii-Meru, 2x132kV Substations, 183 km 132kV & 76km 33kV Power Transmission Lines",2006,CHEXIM,$21M,Kenya,Power
53,Mekin Hydropower Project 15MW,2010,CHEXIM,$51M,Cameroon,Power
54,"Ogun State, Papalanto Gas Power Project 335 MW",2002,Shandong Electric Power Construction Corporation III (SEPCO III),$115M,Nigeria,Power
55,"Tanzania Petroleum Development Corporation (TPDC) Natural Gas Processing Plants and Pipeline, PEBC part (Mnazi Bay to Dar es Salaam - Mtwara Province Gas Pipeline, 432km)",2012,CHEXIM,$920M,Tanzania,Power
56,Djibloho Hydropower Project 120MW,2006,CHEXIM,$257M,Equatorial Guinea,Power
57,Imboulou Hydropower Station 120MW,2003,China Machinery Engineering Corporation (CMEC),$238M,Republic of Congo,Power
58,Morupule B Coal-Fired Power Station Expansion Project 600MW,2009,ICBC,$825M,Botswana,Power
59,"500kV Transmission Line Project 1210km (Eximbank and ICBC Part, Total $690mil)",2017,MixedCN: CHEXIM & ICBC,$459M,Egypt,Power
60,Zongo II Hydropower Station 150MW,2011,CHEXIM,$367M,Democratic Republic of Congo,Power
61,"Jerada Coal Power Plant (1X350MW=350MW), Eximbank loan, 305 million",2014,CHEXIM,$305M,Morocco,Power
62,"Grand Poubara Hydropower Project 160MW, Phase I",2008,CHEXIM,$318M,Gabon,Power
63,"28km Dakar Loop Power Transmission Projects, 4x90kV (360kV), Phase I",2007,CHEXIM,$51M,Senegal,Power
64,"Nyabarongo River Dam II, 224MW; 110kV Evacuation Transmission Line",2020,CHEXIM,$214M,Rwanda,Power
